category,item,scope,key,value_a,value_b,takeaway,source
loss_contract,teacher_v2_main,config,loss_weights,"profile=1.0;count=0.1","debiased_profile=2.0;debiased_count=0.0","当前默认主训练不是对称多任务；debiased profile 被显式强调，而 debiased count 默认关闭","08_train_teacher_v2_main.yaml"
selector,teacher_v2_main,config,best_metric,peak.loss_total,,"默认 selector 是混合 loss，而不是 JSD","08_train_teacher_v2_main.yaml"
selector,teacher_v2_main_profile_select,config,best_metric,peak.profile_target_jsd_full_mean,,"存在只改 selector 不改 loss 的并行配置，说明 selector 已被视为问题的一部分","09_train_teacher_v2_main_profile_select.yaml"
clean_matrix,A_tf_sg0_deb2,test,profile_full_debiased_jsd,0.00147,,"关掉 stop-gradient 但保留 debiased profile supervision，gap 仍然很小","reports/analysis/profile_shortcut_revalidation_summary_20260326.md"
clean_matrix,C_tf_sg1_deb0_s42,test,profile_full_debiased_jsd,0.00972,,"保留 stop-gradient 但去掉 debiased profile supervision，gap 明显抬升","reports/analysis/profile_shortcut_revalidation_summary_20260326.md"
clean_matrix,C_tf_sg1_deb0_s1234,test,profile_full_debiased_jsd,0.00997,,"同一现象在第二个 seed 上复现，支持 deb2 比 sg 更像主效应","reports/analysis/profile_shortcut_revalidation_summary_20260326.md"
clean_matrix,corrected_B,test,profile_full_debiased_jsd,0.00268,,"最终默认模型保持很小 gap，说明当前 loss contract 形成了相对稳定的 bias-safe 训练语义","reports/analysis/profile_shortcut_revalidation_summary_20260326.md"
clean_matrix,notf_sg1_deb0_s42,test,profile_full_debiased_jsd,0.02682,,"conv-only unsafe 配置可以比 TF 条件更坏，问题不能简化为 Transformer 特有现象","reports/analysis/profile_shortcut_revalidation_summary_20260326.md"
selector_audit,v2fix_codex_audit_response,audit,NLL_vs_JSD,"not strictly monotonic",,"混合 loss 更低不代表 JSD 更低；selector 错位不是小问题","docs/plan/archive/v2/v2fix_codex_audit_response.md"
selector_audit,v2fix_codex_audit_response,audit,count_weight_visibility,"count_weight=0.1 can hide count gains",,"count 端收益在混合 loss 中可能被淹没","docs/plan/archive/v2/v2fix_codex_audit_response.md"
training_semantics,zero_count_profile_loss,training,semantic_change,"zero-count windows contribute 0 to profile loss",,"多个 loss 的协调不能脱离每项 loss 自身的 target 语义","reports/analysis/transchrombp_training_adjustments_20260316.md"
training_semantics,count_weight_transfer,training,warning,"chrombpnet_auto not directly transferable under learnable_scales",,"别的框架里的 count weighting 经验值迁到当前结构后可能改变优化路径","reports/analysis/transchrombp_training_adjustments_20260316.md"
training_semantics,track_total_count_target_coupling,training,warning,"track_total_count_target was coupled with auto count-weight in hybrid path",,"count 相关目标并不是纯净单变量；动态协调前要先理清目标边界","reports/analysis/transchrombp_training_adjustments_20260316.md"
