theme,run_or_claim,dataset_or_scope,split,key_metric_1_name,key_metric_1_value,key_metric_2_name,key_metric_2_value,takeaway,source_doc
task_baseline,official_tutorial_baseline,ChromBPNet tutorial,test,peak_profile_median_jsd,0.3360,peak_count_r,0.7274,official tutorial anchor,README.md
paper_evidence,v2_full_backbone_ablation,matched backbone ablation,test,peak_jsd_mean,0.31419,peak_count_r_mean,0.83676,Transformer backbone is a real gain,reports/assets/paper_metric_source_table_20260326.csv
paper_evidence,v2_notf_backbone_ablation,matched backbone ablation,test,peak_jsd_mean,0.32393,peak_count_r_mean,0.82503,matched noTF is consistently weaker,reports/assets/paper_metric_source_table_20260326.csv
paper_evidence,clean_matrix_A_tf_sg0_deb2,tutorial clean matrix,test,full_debiased_gap,0.00147,peak_count_r_full,0.85064,deb2 can stay clean even without stop_gradient,reports/assets/paper_metric_source_table_20260326.csv
paper_evidence,clean_matrix_C_tf_sg1_deb0_s42,tutorial clean matrix,test,full_debiased_gap,0.00972,peak_count_r_full,0.83946,unsafe TF cell shows light but real gap,reports/assets/paper_metric_source_table_20260326.csv
paper_evidence,clean_matrix_C_tf_sg1_deb0_s1234,tutorial clean matrix,test,full_debiased_gap,0.00997,peak_count_r_full,0.83396,second seed confirms C-line gap stability,reports/assets/paper_metric_source_table_20260326.csv
paper_evidence,clean_matrix_notf_sg1_deb0_s42,tutorial clean matrix,test,full_debiased_gap,0.02682,peak_count_r_full,0.79191,conv-only unsafe is highest-risk cell,reports/assets/paper_metric_source_table_20260326.csv
paper_evidence,clean_matrix_notf_sg1_deb0_s1234,tutorial clean matrix,test,full_debiased_gap,0.01679,peak_count_r_full,0.82869,conv-only unsafe stays riskier than TF but varies by seed,reports/assets/paper_metric_source_table_20260326.csv
paper_evidence,corrected_B_clean_test,tutorial clean matrix,test,full_debiased_gap,0.00268,peak_count_r_full,0.84390,final default model remains bias-safe,reports/assets/paper_metric_source_table_20260326.csv
paper_evidence,readout_B_s42,readout design held-out,test,peak_jsd,0.31467,peak_count_r,0.85030,center-pool first winning seed,reports/assets/paper_metric_source_table_20260326.csv
paper_evidence,readout_B_s1234,readout design held-out,test,peak_jsd,0.31453,peak_count_r,0.84885,center-pool confirms on second seed,reports/assets/paper_metric_source_table_20260326.csv
paper_evidence,readout_F_s1234,readout design held-out,test,peak_jsd,0.42691,peak_count_r,0.84567,attention-pool profile instability on confirmatory seed,reports/assets/paper_metric_source_table_20260326.csv
paper_evidence,l3_shared_region_official,tutorial L3 shared-region,test,peak_mean_jsd,0.33853,peak_count_r,0.69958,official controlled L3 anchor,reports/assets/paper_metric_source_table_20260326.csv
paper_evidence,l3_shared_region_ours,tutorial L3 shared-region,test,peak_mean_jsd,0.31319,peak_count_r,0.84016,current strongest external compare anchor,reports/assets/paper_metric_source_table_20260326.csv
paper_evidence,gm12878_independent,independent real data,test,peak_jsd,0.42265,peak_count_r,0.80396,works beyond tutorial but not framed as a benchmark win,reports/assets/paper_metric_source_table_20260326.csv
paper_evidence,k562_independent,independent real data,test,peak_jsd,0.61235,peak_count_r,0.85857,independent K562 remains usable though harder on profile,reports/assets/paper_metric_source_table_20260326.csv
foundation_attempt,genos_ocr_sanity,Genos OCR side benchmark,full_layer12,roc_auc,0.7535,official_reference_auc,0.7569,Genos itself is not broken locally,reports/external/chatgpt_bundle_foundation_restart_20260331/05_foundation_model_run_matrix.csv
foundation_attempt,genos_probe_concat_vs_encoded,tutorial valid probe,oof_cv,concat_auc,0.9018,encoded_only_auc,0.9219,Genos summary is not naturally complementary,reports/external/chatgpt_bundle_foundation_restart_20260331/05_foundation_model_run_matrix.csv
foundation_attempt,genos_G1_online_gate,tutorial Genos pilot,held_out_test,peak_jsd,0.3388,peak_count_r,0.4689,online gate collapsed count,reports/external/chatgpt_bundle_foundation_restart_20260331/05_foundation_model_run_matrix.csv
foundation_attempt,genos_P2_count_only,tutorial Genos cached pilot,held_out_test,peak_jsd,0.3174,peak_count_r,0.6037,count-head injection is unsafe,reports/external/chatgpt_bundle_foundation_restart_20260331/05_foundation_model_run_matrix.csv
foundation_attempt,caduceus_matched_AB_single_seed,tutorial canonical held-out,test,peak_mean_jsd_delta_vs_A,-0.00060,peak_count_r_delta_vs_A,0.00785,near-null or marginal positive rather than a clear win,docs/plan/archive/foundation/caduceus_tutorial_ab_online_fusion_20260331.md
foundation_attempt,ntv2_nt_only_best,tutorial valid probe,probe,nt_only_auc,0.742424,encoded_only_auc,0.868116,NT v2 has independent signal,reports/analysis/nt_v2_probe_20260404.md
foundation_attempt,ntv2_concat_best,tutorial valid probe,probe,concat_auc,0.857792,delta_vs_encoded,-0.010324,NT v2 still fails complementarity gate in simple probe,reports/analysis/nt_v2_probe_20260404.md
foundation_attempt,ntv2_residual_probe_best_count,tutorial valid probe,probe,nt_logcount_r2,0.106456,nt_logcount_pearson_r,0.530499,NT summary correlates with count but not baseline residuals,reports/analysis/nt_v2_probe_20260404.md
current_status,ntv2_residual_short10_restart_v3,tutorial short10,run_in_progress,status,in_progress,design,residual_head_dualcache,current live question is whether residual-only NT v2 can add net value without destabilizing the backbone,reports/analysis/foundation_model_restart_v3_implementation_20260405.md
